Elvis Presley,Always On My Mind,35,0,0,0,0,0,0,0,0,0,0,30,0,40,23,0,0,0,0,0,0,0,36,4,32.0,23.0
Elvis Presley,Blue Suede Shoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,31,1,10.0,10.0
Elvis Presley,Can't Help Falling,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38.0,38.0
Elvis Presley,Jailhouse Rock,25,34,8,34,25,0,0,0,0,0,27,0,28,14,36,34,34,0,0,6,27,18,224,14,25.0,6.0
Elvis Presley,Love Me Tender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,29,1,12.0,12.0
Elvis Presley,Suspicious Minds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,17,9,0,74,3,16.333333333333332,9.0
Elvis Presley,The Wonder Of You,0,0,0,11,0,0,0,22,18,0,14,31,5,9,33,39,32,0,0,0,21,35,222,12,22.5,5.0
Engelbert H.,(Please) Release Me,5,3,3,8,14,17,8,11,3,29,21,39,0,0,0,0,4,0,0,0,21,0,388,14,13.285714285714286,3.0
Eva Cassidy,Over the Rainbow,34,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,17.666666666666668,3.0
Frank Sinatra,Come Fly With Me,0,0,0,0,0,0,21,32,0,34,0,35,26,38,0,0,28,0,0,0,0,0,73,7,30.571428571428573,21.0
Frank Sinatra,Fly Me To The Moon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,19,1,22.0,22.0
Frank Sinatra,My Way,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,4,30,3,4,9,830,22,3.272727272727273,1.0
Frank Sinatra,"New York, New York",8,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,30,0,0,17,0,0,74,4,22.5,8.0
Frank Sinatra,Strangers In The Night,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,30.0,30.0
George Ezra,Paradise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,24,2,29.0,28.0
George Ezra,Shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,17,37,0,0,0,100,4,16.0,2.0
Gerry/Pacemakers,You'll Never Walk Alone,38,0,0,0,0,33,35,0,0,0,0,0,0,0,0,21,0,30,0,0,28,16,86,7,28.714285714285715,16.0
Glenn Miller,In The Mood,37,31,9,10,12,18,10,13,11,13,15,7,11,0,0,0,12,0,0,13,15,0,419,16,14.8125,7.0
Glenn Miller,Moonlight Serenade,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,33,0,0,0,0,0,51,3,24.0,16.0
Guns N' Roses,Sweet Child O' Mine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,14,1,27.0,27.0
Harry Styles,As It Was,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,34,14,81,4,20.75,1.0
Harry Styles,Sign Of The Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,44,2,19.0,19.0
Idina Menzel,Let It Go,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,51,2,15.5,15.0
James Blunt,You're Beautiful,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,64,3,19.666666666666668,10.0
Jennifer Rush,The Power Of Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,6,1,35.0,35.0
Jessie J,Domino,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,33.0,33.0
Jim Reeves,Distant Drums,7,12,40,0,0,24,18,21,22,0,23,0,0,0,0,0,17,0,0,0,0,0,185,9,20.444444444444443,7.0
Jim Reeves,He'll Have To Go,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,36.0,36.0
Jim Reeves,I Love You Because,17,17,13,21,20,5,19,7,27,7,26,23,14,31,0,0,11,0,0,5,33,34,408,18,18.333333333333332,5.0
John Denver,Annie's Song,33,0,0,0,0,0,0,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0,16,3,35.666666666666664,33.0
John Lennon,Imagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,42,2,20.0,20.0
Johnny Cash,I Walk the Line,28,0,0,0,0,0,20,29,12,17,4,21,27,0,0,0,40,29,0,0,26,0,198,11,23.0,4.0
Johnny Cash,Ring of Fire,0,0,17,29,36,6,16,33,0,19,19,17,13,16,0,0,21,0,0,26,27,0,279,14,21.071428571428573,6.0
Justin Bieber,Love Yourself,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,5,1,36.0,36.0
Justin Bieber,Sorry,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21,1,20.0,20.0
Katrina/Waves,Walking On Sunshine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,13,1,28.0,28.0
Katy Perry,Roar,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,17,1,24.0,24.0
Keala Settle,This Is Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,49,2,16.5,15.0
Kenny Rogers,Islands in Stream,0,0,0,0,0,0,0,0,31,0,29,0,0,0,13,0,0,0,0,0,12,0,79,4,21.25,12.0
Killers,Mr Brightside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,30,36,0,28,3,31.666666666666668,29.0
Kings of Leon,Sex on Fire,0,0,0,0,0,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,25.5,21.0
Lady Gaga,Poker Face,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,41,3,27.333333333333332,20.0
Lady Gaga,Die With A Smile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,29,1,12.0,12.0
Led Zeppelin,Stairway To Heaven,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,35.0,35.0
Louis Armstrong,What A Wonderful World,21,35,0,24,0,0,28,20,21,14,28,33,6,21,15,31,24,25,0,39,20,17,316,18,23.444444444444443,6.0
Luciano Pavarotti,Nessun Dorma,15,0,3,31,0,0,40,0,0,0,30,0,0,0,0,0,19,0,0,0,0,0,108,6,23.0,3.0
Lukas Graham,7 Years,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,34,1,7.0,7.0
Madness,It Must Be Love,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,34,0,0,0,0,10,2,36.0,34.0
Mark Ronson,Uptown Funk,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,12,1,29.0,29.0
Maroon 5,Move Like Jagger,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,29.0,29.0
Matt Monro,Born Free,0,29,21,32,0,0,36,27,26,23,12,27,0,27,0,0,31,0,0,0,0,0,160,11,26.454545454545453,12.0
Meatloaf,Bat Out Of Hell,0,0,0,0,0,0,0,0,0,26,39,0,0,25,12,12,0,3,19,9,9,22,234,10,17.6,3.0
Michael Buble,Haven't Met You Yet,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,26.0,26.0
Michael Jackson,Billie Jean,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,60,2,11.0,4.0
Michael Jackson,Thriller,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,27.0,27.0
Monty Python,Always Look On Side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,28,2,27.0,27.0
Nat King Cole,Unforgettable,26,15,14,36,13,36,29,40,9,30,22,26,24,26,27,0,16,0,0,0,22,0,286,17,24.176470588235293,9.0
Neil Diamond,Sweet Caroline,0,0,34,22,17,7,7,5,10,6,7,6,4,2,5,5,15,1,5,2,3,6,651,20,8.45,1.0
Noah Kahan,Stick Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,1,25.0,25.0
Oasis,Wonderwall,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,20,31,3,30.666666666666668,20.0
Omi,Cheerleader,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,17,1,24.0,24.0
One Direction,What Makes You Beau.,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,21,2,30.5,30.0
Patsy Cline,Crazy,10,11,18,14,18,3,9,26,0,12,31,18,32,35,17,24,9,0,0,12,31,0,408,18,18.333333333333332,3.0
Pharrell Williams,Happy,0,0,0,0,0,0,0,0,0,0,1,1,2,15,11,10,0,13,0,4,6,5,342,10,6.8,1.0
Pinkfong,Baby Shark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,25,1,16.0,16.0
